scenario,venue_count,venue_regions,group_pairs,mean_assignment_avg_distance_km,overall_max_distance_km,mean_fairness_score,total_impact_score,total_assignment_score,home_penalty_count
entropy,8,三门县、诸暨市、仙居县、丽水市、义乌市、东阳市、磐安县、金华市,G01+G02、G03+G12、G04+G09、G05+G15、G06+G14、G07+G10、G08+G11、G13+G16,127.83,214.82,80.0,450.23,455.61,0
balanced,8,义乌市、宁波市、杭州市、东阳市、丽水市、临海市、温州市、诸暨市,G01+G06、G02+G07、G03+G12、G04+G10、G05+G15、G08+G14、G09+G13、G11+G16,132.01,245.08,76.85,586.98,546.56,0
travel_first,8,义乌市、宁波市、杭州市、仙居县、丽水市、金华市、临海市、东阳市,G01+G10、G02+G07、G03+G12、G04+G09、G05+G15、G06+G13、G08+G14、G11+G16,127.11,227.81,77.17,552.23,525.94,0
impact_first,8,义乌市、宁波市、杭州市、绍兴市、温州市、台州市、东阳市、金华市,G01+G10、G02+G07、G03+G06、G04+G12、G05+G09、G08+G14、G11+G16、G13+G15,134.71,241.48,74.48,621.69,561.87,0
