format_name,simulations,champion_strength_mean,champion_top4_rate,champion_top8_rate,top8_quarterfinal_rate,top4_round32_elimination_rate,strongest_champion_rate,mean_knockout_strength_gap,high_travel_group_exit_rate,high_travel_quarterfinal_rate,priority_topsis_score,entropy_topsis_score
current_random_draw,20000,82.3054,0.5858,0.724,0.3817,0.2831,0.2784,7.0722,0.5278,0.0995,0.258954,0.284859
random_draw_rest,20000,82.0921,0.576,0.7075,0.3794,0.2857,0.2641,7.0647,0.5274,0.1026,0.177112,0.364895
random_draw_reseeded,20000,82.4141,0.5988,0.7291,0.3875,0.2852,0.2821,7.2138,0.5285,0.0977,0.398777,0.304162
group_rank_seeded,20000,82.3523,0.5933,0.7267,0.3894,0.2575,0.2805,7.2739,0.5281,0.098,0.662609,0.611188
group_rank_seeded_rest,20000,82.2552,0.5874,0.7168,0.3878,0.258,0.2727,7.2825,0.5283,0.1012,0.596676,0.684461
seeded_reseeded,20000,82.5267,0.6085,0.7311,0.3968,0.2551,0.2847,7.4116,0.5283,0.0964,0.822888,0.635105
seeded_reseeded_rest,20000,82.3047,0.5936,0.7183,0.3931,0.2591,0.2683,7.3974,0.5282,0.0995,0.706284,0.690528
